sku,title,subtitle,niche,trim_size,page_count,interior_style,primary_keywords,secondary_keywords,short_desc,long_desc,price_usd,cover_filename,thumb_filename,interior_docx,category_hint
SKU-001,Baby Sleepy Time Story,Woodland Dreams,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","woodland,forest,animals",Baby Sleepy Time Story in the Woodland Dreams theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Woodland Dreams) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_001.png,thumb_001.png,interior_001.docx,Juvenile Fiction / Bedtime & Dreams
SKU-002,Baby Sleepy Time Story,Cloudy Sky,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","clouds,stars,moon",Baby Sleepy Time Story in the Cloudy Sky theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Cloudy Sky) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_002.png,thumb_002.png,interior_002.docx,Juvenile Fiction / Bedtime & Dreams
SKU-003,Baby Sleepy Time Story,Farmhouse Nights,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","farm,country,barn",Baby Sleepy Time Story in the Farmhouse Nights theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Farmhouse Nights) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_003.png,thumb_003.png,interior_003.docx,Juvenile Fiction / Bedtime & Dreams
SKU-004,Baby Sleepy Time Story,City Park Day,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","city,park,playground",Baby Sleepy Time Story in the City Park Day theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (City Park Day) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_004.png,thumb_004.png,interior_004.docx,Juvenile Fiction / Bedtime & Dreams
SKU-005,Baby Sleepy Time Story,Beach Day,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","ocean,beach,sea",Baby Sleepy Time Story in the Beach Day theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Beach Day) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_005.png,thumb_005.png,interior_005.docx,Juvenile Fiction / Bedtime & Dreams
SKU-006,Baby Sleepy Time Story,Garden Friends,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","garden,flowers,bees",Baby Sleepy Time Story in the Garden Friends theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Garden Friends) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_006.png,thumb_006.png,interior_006.docx,Juvenile Fiction / Bedtime & Dreams
SKU-007,Baby Sleepy Time Story,Mountain Camp,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","mountain,cabin,trees",Baby Sleepy Time Story in the Mountain Camp theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Mountain Camp) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_007.png,thumb_007.png,interior_007.docx,Juvenile Fiction / Bedtime & Dreams
SKU-008,Baby Sleepy Time Story,Pastel Skies,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","pastels,soft,colors",Baby Sleepy Time Story in the Pastel Skies theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Pastel Skies) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_008.png,thumb_008.png,interior_008.docx,Juvenile Fiction / Bedtime & Dreams
SKU-009,Baby Sleepy Time Story,Safari Snuggles,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","safari,lion,giraffe",Baby Sleepy Time Story in the Safari Snuggles theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Safari Snuggles) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_009.png,thumb_009.png,interior_009.docx,Juvenile Fiction / Bedtime & Dreams
SKU-010,Baby Sleepy Time Story,Snowy Cozy,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","snow,winter,mittens",Baby Sleepy Time Story in the Snowy Cozy theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Snowy Cozy) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_010.png,thumb_010.png,interior_010.docx,Juvenile Fiction / Bedtime & Dreams
